x,y,title,artist,year,cluster,shelf_no,index,description,hover_text,color
-12.850469,25.90328,Yggdrasil,Carolin Israel,2018,2,3.0,0105,bitte ausgepackt mit hadnschuen anfassen,<b>Yggdrasil</b><br>Artist: Carolin Israel<br>Year: 2018<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0105<br><br>bitte ausgepackt mit hadnschuen anfassen...,"rgb(190,186,218)"
13.531216,-12.072025,clean,Franziska Frings,2025,2,3.0,0447/25,,<b>clean</b><br>Artist: Franziska Frings<br>Year: 2025<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0447/25,"rgb(190,186,218)"
-3.425929,35.1979,untitled,Oliver Bleckmann,2024,2,3.0,0470,,<b>untitled</b><br>Artist: Oliver Bleckmann<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0470,"rgb(190,186,218)"
14.214741,8.317494,eyes of women (goddess of a fountain 2),Jung Yun Jang,2023,2,3.0,0426,,<b>eyes of women (goddess of a fountain 2)</b><br>Artist: Jung Yun Jang<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0426,"rgb(190,186,218)"
14.214741,8.317494,eyes of women (goddess of a fountain 2),Jung Yun Jang,2023,3,4.0,0426,,<b>eyes of women (goddess of a fountain 2)</b><br>Artist: Jung Yun Jang<br>Year: 2023<br>Cluster: 3<br>Shelf: 4.0<br>ID: 0426,"rgb(251,128,114)"
16.47287,3.8266838,the possibility of repetition,Jung Yun Jang,2024,2,3.0,0430,,<b>the possibility of repetition</b><br>Artist: Jung Yun Jang<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0430,"rgb(190,186,218)"
-14.541942,0.9490973,hands around the dinner table (untitled),Jung Yun Jang,2018,2,3.0,0434,,<b>hands around the dinner table (untitled)</b><br>Artist: Jung Yun Jang<br>Year: 2018<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0434,"rgb(190,186,218)"
-14.244583,0.5353166,hands around the dinner table (untitled),Jung Yun Jang,2018,2,3.0,0435,,<b>hands around the dinner table (untitled)</b><br>Artist: Jung Yun Jang<br>Year: 2018<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0435,"rgb(190,186,218)"
-15.86867,2.3870356,hands around the dinner table (rolling a cigarette),Jung Yun Jang,2018,2,3.0,0437,,<b>hands around the dinner table (rolling a cigarette)</b><br>Artist: Jung Yun Jang<br>Year: 2018<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0437,"rgb(190,186,218)"
-5.8226748,-7.187642,"Fohlenweide, Mannheim",Lennart Pimpl,2019,4,6.0,0030,,"<b>Fohlenweide, Mannheim</b><br>Artist: Lennart Pimpl<br>Year: 2019<br>Cluster: 4<br>Shelf: 6.0<br>ID: 0030","rgb(128,177,211)"
19.926931,-6.3931847,Orange Line 2,Konstantine Kakabadze,2024,4,2.0,0210,,<b>Orange Line 2</b><br>Artist: Konstantine Kakabadze<br>Year: 2024<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0210,"rgb(128,177,211)"
-14.9150095,0.59117854,"hands around the dinner table (then, there)",Jung Yun Jang,2018,2,3.0,0433,,"<b>hands around the dinner table (then, there)</b><br>Artist: Jung Yun Jang<br>Year: 2018<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0433","rgb(190,186,218)"
10.282219,-18.223804,Vogue Nature,Julian Westermann,2023,2,3.0,0102,,<b>Vogue Nature</b><br>Artist: Julian Westermann<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0102,"rgb(190,186,218)"
6.2609506,-19.824234,Lambada,Simon Wienk-Borgert,2023,2,3.0,0181,,<b>Lambada</b><br>Artist: Simon Wienk-Borgert<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0181,"rgb(190,186,218)"
10.062749,-17.144007,Negative Hallucination,Julian Westermann,2020,2,3.0,0101,,<b>Negative Hallucination</b><br>Artist: Julian Westermann<br>Year: 2020<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0101,"rgb(190,186,218)"
16.371416,5.568169,"mirror, lights, coral",Jung Yun Jang,2017,2,3.0,0427,,"<b>mirror, lights, coral</b><br>Artist: Jung Yun Jang<br>Year: 2017<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0427","rgb(190,186,218)"
22.291067,-16.89491,Blaukopf,Jens Stittgen,,1,1.0,0247,,<b>Blaukopf</b><br>Artist: Jens Stittgen<br>Year: nan<br>Cluster: 1<br>Shelf: 1.0<br>ID: 0247,"rgb(255,255,179)"
1.8711429,-16.770168,D'Artagnan,Manuel Boden,1999/2024,2,3.0,0086,,<b>D'Artagnan</b><br>Artist: Manuel Boden<br>Year: 1999/2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0086,"rgb(190,186,218)"
14.149513,-7.770794,Postergirls,Lillith Sachsenhauser,2024,4,2.0,0313,,<b>Postergirls</b><br>Artist: Lillith Sachsenhauser<br>Year: 2024<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0313,"rgb(128,177,211)"
-13.832166,-0.44957379,hand around the dinner table (untitled) ,Jung Yun Jang,2021,2,3.0,0439,,<b>hand around the dinner table (untitled) </b><br>Artist: Jung Yun Jang<br>Year: 2021<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0439,"rgb(190,186,218)"
-4.729,22.153078,Dissolving Touch,Julian Westermann,2022,2,3.0,0099,,<b>Dissolving Touch</b><br>Artist: Julian Westermann<br>Year: 2022<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0099,"rgb(190,186,218)"
13.551622,-5.535514,o. T. ,Sophie Isabel Urban,2022,4,2.0,0163,,<b>o. T. </b><br>Artist: Sophie Isabel Urban<br>Year: 2022<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0163,"rgb(128,177,211)"
-2.372331,21.684017,Cheezmir,Manuel Boden,2024,2,3.0,0073,,<b>Cheezmir</b><br>Artist: Manuel Boden<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0073,"rgb(190,186,218)"
-4.693183,21.026491,Cry of the Fly,Julian Westermann,2024,2,3.0,0103,,<b>Cry of the Fly</b><br>Artist: Julian Westermann<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0103,"rgb(190,186,218)"
-7.8162317,26.50926,Wunsch nach Zärtlichkeit,Paula Rinderle,2022,2,3.0,0064,,<b>Wunsch nach Zärtlichkeit</b><br>Artist: Paula Rinderle<br>Year: 2022<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0064,"rgb(190,186,218)"
5.526004,-17.196981,Nazaré & Figueira da Foz,Manuel Boden,2024,2,3.0,0081,,<b>Nazaré & Figueira da Foz</b><br>Artist: Manuel Boden<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0081,"rgb(190,186,218)"
-1.2593385,-8.829935,ohne Titel,Tabea Borchardt,2029,4,2.0,0219,,<b>ohne Titel</b><br>Artist: Tabea Borchardt<br>Year: 2029<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0219,"rgb(128,177,211)"
13.87694,-14.544554,untitled,Franziska Frings,2024,2,3.0,0177,,<b>untitled</b><br>Artist: Franziska Frings<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0177,"rgb(190,186,218)"
13.9573,-14.743261,untitled,Franziska Frings,2024,2,3.0,0174,,<b>untitled</b><br>Artist: Franziska Frings<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0174,"rgb(190,186,218)"
10.873112,-7.8064027,o. T. ,Lucie Gorzolka,2023,1,1.0,0308,,<b>o. T. </b><br>Artist: Lucie Gorzolka<br>Year: 2023<br>Cluster: 1<br>Shelf: 1.0<br>ID: 0308,"rgb(255,255,179)"
2.8701868,-21.525425,Gemeinschaftsdusche,Janis Löhrer,2025,5,8.0,0394 (10/10),,<b>Gemeinschaftsdusche</b><br>Artist: Janis Löhrer<br>Year: 2025<br>Cluster: 5<br>Shelf: 8.0<br>ID: 0394 (10/10),"rgb(253,180,98)"
-8.253432,32.781616,Verlust der Mitte,Heike Michaela Walter,2010,4,7.0,0107,,<b>Verlust der Mitte</b><br>Artist: Heike Michaela Walter<br>Year: 2010<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0107,"rgb(128,177,211)"
11.370874,1.1547897,international sleep,Deniz Ahmet Saridas,2024,4,2.0,0051,,<b>international sleep</b><br>Artist: Deniz Ahmet Saridas<br>Year: 2024<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0051,"rgb(128,177,211)"
